"","Top.Module","Measure","Variables_Names"
"37","100_105","3152.96343499679","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount2"
"38","100_107","3152.96343499679","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount2"
"39","100_109_114_166","3076.15388254769","InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3__InputAddrLotSize__BusExecLinkAuthRep2NameOnFile"
"40","100_110_169","2857.33080889101","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2SSNOnFile"
"41","100_110_166","2788.16632625031","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2NameOnFile"
"42","67_110_131","2727.35949028847","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount3__AssociateBusinessCount"
"43","41_46_109","2443.32335662181","FS13__FS27__BusExecLinkPropertyOverlapCount3"
"44","63_100_110","2377.56959216547","SOSEverDefunct__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"45","64_100_109","2374.00337873518","SOSStateCount__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"46","67_87_110_157","2369.24913712296","BankruptcyCount24Month__AssetAircraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile"
"47","67_109_145_167","2334.80260842847","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount3__VerificationBusInputFEIN__BusExecLinkAuthRep2AddrOnFile"
"48","67_105_131","2323.67392947224","BankruptcyCount24Month__BusExecLinkPropertyOverlapCount2__AssociateBusinessCount"
"49","67_107_131","2323.67361814092","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__AssociateBusinessCount"
"50","100_110_157","2166.70220188547","InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRepAddrOnFile"
"51","88_110_168","2142.01187680579","AssetWatercraftCount__BusExecLinkUtilityOverlapCount3__BusExecLinkAuthRep2PhoneOnFile"
"52","10_88_109","2014.26694625653","TotalInquiries__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"53","10_100_110","2003.58537634029","TotalInquiries__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"54","107_110","1967.45717957997","BusExecLinkUtilityOverlapCount2__BusExecLinkUtilityOverlapCount3"
"55","107_109","1967.45717957997","BusExecLinkUtilityOverlapCount2__BusExecLinkPropertyOverlapCount3"
"56","105_110","1967.45717957997","BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount3"
"57","105_109","1967.45717957997","BusExecLinkPropertyOverlapCount2__BusExecLinkPropertyOverlapCount3"
"58","9_88_110","1952.34078990642","RevolvingAvailablePercent__AssetWatercraftCount__BusExecLinkUtilityOverlapCount3"
"59","9_100_110","1948.76678070752","RevolvingAvailablePercent__InquiryConsumerAddressSSN__BusExecLinkUtilityOverlapCount3"
"60","9_100_109","1948.76678070752","RevolvingAvailablePercent__InquiryConsumerAddressSSN__BusExecLinkPropertyOverlapCount3"
"61","56_98_109","1944.2912354359","FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount3"
"62","88_98_110","1938.89078724006","AssetWatercraftCount__InquiryConsumerAddress__BusExecLinkUtilityOverlapCount3"
"63","56_105_107","1912.86612432124","FirmReportedEarnings__BusExecLinkPropertyOverlapCount2__BusExecLinkUtilityOverlapCount2"
"64","101_103_107","1900.98161420493","BusExecLinkPropertyOverlapCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"65","87_103_107","1891.27950976167","AssetAircraftCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"66","60_103_107","1891.27950976167","OrgAddrLegalEntityCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"67","65_103_107","1891.27950976167","BankruptcyCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount2"
"68","56_109_132","1870.49936148496","FirmReportedEarnings__BusExecLinkPropertyOverlapCount3__AssociateCityCount"
"69","63_103_110","1861.15156985262","SOSEverDefunct__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"70","64_103_110","1857.84996382581","SOSStateCount__BusExecLinkUtilityOverlapCount__BusExecLinkUtilityOverlapCount3"
"71","67_107_157","1824.99982850257","BankruptcyCount24Month__BusExecLinkUtilityOverlapCount2__BusExecLinkAuthRepAddrOnFile"
"72","17_88_109","1810.29908333864","PctNegTradesWas__AssetWatercraftCount__BusExecLinkPropertyOverlapCount3"
"73","83_88_105_180","1765.26547788714","AssetPropertyStateCount__AssetWatercraftCount__BusExecLinkPropertyOverlapCount2__InputAddrType"
"74","56_83_105_132","1750.17829368033","FirmReportedEarnings__AssetPropertyStateCount__BusExecLinkPropertyOverlapCount2__AssociateCityCount"
"75","56_98_105_167","1686.63670184094","FirmReportedEarnings__InquiryConsumerAddress__BusExecLinkPropertyOverlapCount2__BusExecLinkAuthRep2AddrOnFile"
