"","Var","Score","Variables_Names"
"182","16_53_189","18.5825","PctNegTradesNow__FirmAgeEstablished__SecurityStatementPresent"
"183","20_173","18.5786","OldesttradeopenYearsAgo__BusExecLinkAuthRep2SSNBusFEIN"
"184","20_41_108","18.5732","OldesttradeopenYearsAgo__FS13__BusExecLinkInquiryOverlapCount2"
"185","15_34_56_189","18.5732","NowDelinquentDerog__FS2__FirmReportedEarnings__SecurityStatementPresent"
"186","20_140","18.5685","OldesttradeopenYearsAgo__InputCheckAuthRep2SSN"
"187","28_37","18.558","FICO2.SCORE__FS9"
"188","20_127","18.5553","OldesttradeopenYearsAgo__AssociateJudgmentCount"
"189","20_128","18.5553","OldesttradeopenYearsAgo__AssociateCountWithJudgment"
"190","20_68_111","18.541","OldesttradeopenYearsAgo__BankruptcyTimeNewest__BusExecLinkInquiryOverlapCount3"
"191","20_185","18.4872","OldesttradeopenYearsAgo__IP224_SCOREind"
"192","16_53_95","18.4673","PctNegTradesNow__FirmAgeEstablished__InquiryCredit03Month"
"193","90_141_184","18.4524","UCCTimeNewest__InputCheckAuthRep2Phone__IP224_SCORE"
"194","16_45_160","18.4204","PctNegTradesNow__FS20__BusExecLinkBusNameAuthRepFirst"
"195","20_167","18.3987","OldesttradeopenYearsAgo__BusExecLinkAuthRep2AddrOnFile"
"196","8_20_111","18.3941","RealEstatePayment__OldesttradeopenYearsAgo__BusExecLinkInquiryOverlapCount3"
"197","20_109","18.391","OldesttradeopenYearsAgo__BusExecLinkPropertyOverlapCount3"
"198","20_110","18.391","OldesttradeopenYearsAgo__BusExecLinkUtilityOverlapCount3"
"199","20_111","18.391","OldesttradeopenYearsAgo__BusExecLinkInquiryOverlapCount3"
"200","16_45_100","18.3597","PctNegTradesNow__FS20__InquiryConsumerAddressSSN"
